Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Sea surface temperature anomaly,0.04,-0.42,-0.98,-0.63,-0.75,-0.81,-0.58,-0.2,-0.37,-0.35,-0.32,-0.72,-0.58,-0.66,-0.64,-0.34,-0.11,-0.51,-0.62,-0.85,-0.62,-0.27,-0.25,-0.44,-0.13,-0.61,-0.4,-0.39,-0.39,-0.48,-0.67,-0.3,-0.55,-0.35,-0.51,-0.35,-0.36,-0.43,-0.12,-0.45,-0.5,-0.35,-0.05,0.3,0.17,0.19,-0.14,-0.35,-0.38,-0.57,-0.17,-0.33,-0.2,-0.27,-0.32,-0.29,0.05,-0.33,-0.15,-0.29,-0.14,-0.27,0.03,-0.13,-0.07,-0.66,-0.47,-0.24,-0.04,0.06,0.25,0.12,-0.26,0.34,0.14,0.12,-0.05,-0.1,0.01,0.03,0.02,0.2,-0.23,-0.01,0.09,0.12,0.12,-0.08,0.44,0.27,0.26,0,-0.15,-0.32,-0.17,0.34,0.41,-0.07,0.62,0.27,0.24,0.44,0.43,0.51,0.37,0.49,0.27,0.45,0.4,0.45,0.6,0.44,0.31,0.44,0.4,0.26,0.85,0.75
Ten year rolling average,0,0,0,0,0,0,0,0,0,-0.505,-0.541,-0.571,-0.531,-0.534,-0.523,-0.476,-0.429,-0.46,-0.485,-0.535,-0.565,-0.52,-0.487,-0.465,-0.414,-0.441,-0.47,-0.458,-0.435,-0.398,-0.403,-0.406,-0.436,-0.427,-0.465,-0.439,-0.435,-0.439,-0.412,-0.409,-0.392,-0.397,-0.347,-0.282,-0.214,-0.16,-0.138,-0.13,-0.156,-0.168,-0.135,-0.133,-0.148,-0.205,-0.254,-0.302,-0.283,-0.281,-0.258,-0.23,-0.227,-0.221,-0.198,-0.184,-0.159,-0.196,-0.248,-0.239,-0.228,-0.193,-0.154,-0.115,-0.144,-0.097,-0.076,0.002,0.044,0.058,0.063,0.06,0.037,0.045,0.048,0.013,0.008,0.008,0.025,0.027,0.07,0.094,0.118,0.098,0.106,0.075,0.049,0.071,0.1,0.101,0.119,0.119,0.117,0.161,0.219,0.302,0.356,0.371,0.357,0.409,0.387,0.405,0.441,0.441,0.429,0.422,0.425,0.402,0.46,0.49
